"taxon_name","leaf_length","plant_height","leaf_width","leaf_area","plant_growth_form","woodiness_detailed","leaf_shape","life_history","fam","LxW","residuals","logLxW","log_area","log_length","log_width","log_height"
"Abutilon fraseri",38.8888888888889,0.673785714285714,26.7,493.066666666667,"shrub","woody","cordate orbicular ovate","perennial","Malvaceae",1038.33333333333,-0.515783763807907,6.94537214255344,6.20064439140481,3.66070857714724,3.2846635654062,-0.394843149947542
"Abutilon grandifolium",71.25,2.27783333333333,75,9295.8468,"shrub","woody","lanceolate orbicular widely_ovate","perennial","Malvaceae",5343.75,1.00284289496,8.58368293268507,9.13732299874935,4.26619481914876,4.31748811353631,0.823224698754608
"Abutilon halophilum",19.7773142857143,0.875,22.5276,391.0173333,"shrub","woody","obovate orbicular","perennial","Malvaceae",445.535425302857,-0.0200671508106995,6.09927676182547,5.96875188969333,2.98453553768929,3.11474122413618,-0.133531392624523
"Abutilon leucopetalum",52.5395047614286,1.26,61.97566667,3614.212733,"shrub","woody","cordate lanceolate orbicular ovate","perennial","Malvaceae",3256.17083410118,0.487134426088636,8.08830719322185,8.19262933300583,3.96156535827899,4.12674183494287,0.231111720963387
"Abutilon otocarpum",46.875,0.665,46.3666666666667,495.133333333333,"shrub","woody","cordate narrowly_ovate orbicular","perennial","Malvaceae",2173.4375,-1.14611769692626,7.68406529455186,6.20482708656709,3.84748448429057,3.83658081026129,-0.407968238326283
"Acacia acinacea",10.8461538461538,1.76,5.72727272727273,60.87548,"shrub","woody","elliptical narrowly_oblong oblanceolate orbicular widely_obovate","perennial","Fabaceae",62.1188811188811,-0.180805504896288,4.12904998650979,4.10883046638193,2.38381053291663,1.74523945359316,0.56531380905006
"Acacia acradenia",94.1666666666667,3.48571428571429,20.8333333333333,1000,"shrub","woody","elliptical narrowly_elliptical","perennial","Fabaceae",1961.80555555556,-0.357785149986534,7.58162052999263,6.90775527898214,4.54506626191839,3.03655426807425,1.24867298324384
"Acacia acrionastes",115.833333333333,4.91666666666667,3.33333333333333,307.36852,"shrub tree","woody","linear","perennial","Fabaceae",386.111111111111,-0.136924301419387,5.95612518066267,5.72804741857359,4.75215237633674,1.20397280432594,1.59263079411772
"Acacia acuminata",115,5.33333333333333,5,917.382633333333,"shrub tree","woody","linear narrowly_elliptical","perennial","Fabaceae",575,0.610450050252755,6.35437004079735,6.82152465167359,4.74493212836325,1.6094379124341,1.67397643357167
"Acacia adsurgens",126.666666666667,3.21428571428571,3.25,300,"shrub","woody","linear","perennial","Fabaceae",411.666666666667,-0.216148936336179,6.02021396039397,5.7037824746562,4.84155896405232,1.17865499634165,1.16760516015506
